Date,Close/Last,Volume,Open,High,Low,Day
45485,791,21329,784.82,795.75,784.82,154
45484,772,793,770.15,775,770,155
45483,758,1165,757.82,760.944,752.02,156
45482,741,7086,756.75,756.75,741,157
45481,754.86,1479,773.05,773.05,752,158
45478,776.4,432,785,797.01,770.81,159
45476,774.657,789,772.6,784.49,772.6,160
45475,766.05,1626,767.66,768.5,759,161
45474,765,423,779.7,779.7,763.26,162
45471,768.798,1061,765,771.31,761.808,163
45470,771.06,8613,776.7,780.85,765,164
45469,783.41,1308,778.89,792.0436,771.2425,165
45468,795.25,1434,785,797,779.792,166
45467,781,3032,784.85,790.51,777,167
45464,765,2036,763,768.88,761.07,168
45463,764.21,3240,765,771.55,761.04,169
45461,762,1552,769.3,769.3,760.5625,170
45460,776,2231,759.75,781.04,759.33,171
45457,764.75,12131,773.14,773.14,758.88,172
45456,787,4316,790.88,799.2,782.25,173
45455,792.395,783,795.78,800,791.026,174
45454,796.34,1834,798.306,800.89,790,175
45453,807.082,420,799.9,808.05,796.5,176
45450,823,3197,829.84,829.84,819.672,177
45449,831.588,1820,829.78,832.54,828.61,178
45448,822.35,1932,817.93,824.55,816,179
45447,802,1613,805.13,809.5,799.9001,180
45446,803.5,4112,800.94,807.812,799.6,181
45443,798.37,1016,797.03,803.605,797.01,182
45442,795,1734,791.48,805.6,788.81,183
45441,784,1282,799.58,799.58,781.36,184
45440,804.37,2308,816.8,819.6,803.75,185
45436,815.25,1008,814.29,821.02,813.7923,186
45435,804.66,892,817.41,821.83,803.45,187
45434,812.678,4682,821.2,821.2,809.75,188
45433,832.73,2325,839.49,850,830.01,189
45432,845,1220,855.65,855.65,845,190
45429,854.13,689,845.99,857.0158,845.31,191
45428,851.5645,404,857,857,850,192
45427,856.99,2019,853.5,860,850.16,193
45426,858.31,507,853.15,860.485,849.0479,194
45425,844.4,251,848,849.75,841.53,195
45422,850,1316,851.332,857.7,846.4,196
45421,849.67,208,846.03,855.11,841,197
45420,846.814,373,854.05,855.9562,845.2,198
45419,853,743,846.01,854.4,845,199
45418,841.8,456,846.05,846.05,839.41,200
45415,841,1089,853.25,854.94,841,201
45414,825.49,4360,821.58,829.7,818,202
45413,822.33,758,807.95,849.95,807.95,203
45412,826,750,834.55,835.22,816.9881,204
45411,838.45,793,839.94,844.47,831.02,205
45408,844.85,457,841.04,856,841.04,206
45407,837,1016,831.47,845.35,824.57,207
45406,859.75,377,860.88,862.75,851.89,208
45405,862.4,1357,847.33,862.4,847.33,209
45404,851.89,1143,855.78,859.44,847.49,210
45401,848.05,815,847.86,854.425,840.27,211
45400,854,587,852.65,858.48,842.51,212
45399,858,580,871.04,874.8583,852.73,213
45398,855.05,1172,840.4,875.21,820,214
45397,841.75,783,851.21,857.2,833.6147,215
45394,830.3,1212,834.35,835.64,823.75,216
45393,857.08,599,852.59,859.33,843,217
45392,852.6,1545,848.35,854.66,843.05,218
45391,866.22,732,872,875,860,219
45390,880.045,2136,874,885.08,871.15,220
45387,872.35,1481,870.19,872.35,862.5,221
